config,vec,ngram,clf,f1_mean,f1_std,delta_f1
"BoW-(1,2)-LR",BoW,"(1,2)",LR,0.891312834328498,0.0033344777956387144,0.11683470621247971
"BoW-(1,1)-LR",BoW,"(1,1)",LR,0.8806192518466123,0.003927954522809343,0.10614112373059403
"TFIDF-(1,2)-LR",TFIDF,"(1,2)",LR,0.8763995363123607,0.002911436548100693,0.10192140819634243
"TFIDF-(1,1)-LR",TFIDF,"(1,1)",LR,0.8704104156105821,0.005710555978167679,0.09593228749456384
"BoW-(1,2)-NB",BoW,"(1,2)",NB,0.8141574933395688,0.006816811561216068,0.03967936522355053
"BoW-(1,1)-NB",BoW,"(1,1)",NB,0.8091541117846244,0.007681954243959941,0.034675983668606136
"TFIDF-(1,2)-NB",TFIDF,"(1,2)",NB,0.8010897484654376,0.009027479781225005,0.02661162034941933
"TFIDF-(1,1)-NB",TFIDF,"(1,1)",NB,0.7744781281160182,0.010289747258724396,0.0
